stop_name,vehicle_type,route_nr,route_name
Alfheim,700,80,Lohove
Alfheim,700,80,Lohove via Brandhaugen
Alfheim,700,80,Lohove via Brandhaugen-Vikåsen
Alfheim,700,80,Kuset via Brandhaugen
Alfheimsvingen,700,108,Stavset
Alfheimsvingen,700,11,Stavset via sentrum
Alfheimsvingen,700,11,Risvollan via sentrum
Alfheimsvingen,700,11,Stavset
Amunddal,700,112,Sandmoen / Klæbu via Nidarvoll
Amunddal,700,73,Tempe
Amunddal,700,73,Klæbu
Amunddal,700,73,Klæbu - Sørborgen skole
Anders Buens gate,700,106,Værestrøa via Lade
Anders Buens gate,700,20,Romolslia via Strindh.-Ladeham.
Anders Buens gate,700,20,Grillstad via Sluppen-Ladehammeren
Anders Buens gate,700,20,Grillstad via Tempeveien-Ladeham.
Anders Buens gate,700,2,Lund via Lade-sentrum-Kolstad
Anders Buens gate,700,2,Strindheim via Kolstad-sentrum
Anders Buens gate,700,2,Husebytunet via sentrum
Anders Buens gate,700,2,Midteggen via sentrum
Anders Buens gate,700,2,Strindheim via sentrum-Lade
Anders Buens gate,700,54,Sandmoen via Lade-sentrum
Anders Søyseths veg,700,106,Værestrøa via Lade
Anders Søyseths veg,700,1,Kattem via Strindheim-sentrum
Anders Søyseths veg,700,1,Ranheim via Tiller-sentrum
Anders Søyseths veg,700,201,Vikåsen
Anders Søyseths veg,700,201,Grillstadkleiva via Værestrøa
Anders Søyseths veg,700,201,Grilstadkleiva
Anders Søyseths veg,700,44,Værestrøa
Anders Søyseths veg,700,44,Ranheim
Anders Søyseths veg,700,44,Grillstad
Anders Søyseths veg,700,54,Sandmoen via Lade-sentrum
Angelltrøvegen,700,10,Ratesvingen via Strindheim
Angelltrøvegen,700,10,Sæterbakken via sentrum
Angelltrøvegen,700,10,Rate via Strindheim
Angelltrøvegen,700,10,Sjetnmarka via Strindheim
Angelltrøvegen,700,10,Vikåsen via sentrum-Strindheim
Angelltrøvegen,700,10,Sjetnmarka
Angelltrøvegen,700,10,Rate
Angelltrøvegen,700,113,Granåslia via Moholt
Ankers gate,700,25,Hurtigbåtterm. via Singsaker
Ankers gate,700,25,Vikåsen via Singsaker
Ankers gate,700,28,Ilsvika via Singsaker
Ankers gate,700,28,Pirbadet via Singsaker
Anton Grevskotts veg,700,103,Sjetnmarka via Kroppanmarka
Anton Grevskotts veg,700,10,Sæterbakken via sentrum
Anton Grevskotts veg,700,10,Sjetnmarka via Strindheim
Anton Grevskotts veg,700,10,Sjetnmarka
Anton Grevskotts veg,700,24,Trondheim S via Okstad østre
Anton Grevskotts veg,700,24,Trondheim S via Kroppanmarka
Anton Grevskotts veg,700,24,Trondheim S
Anton Grevskotts veg,700,24,Okstad via Kroppanmarka
Anton Grevskotts veg,700,24,Sjetnmarka via Kroppanm.-Okstad
Anton Grevskotts veg,700,24,City Syd via Kroppanm.-Okstad
Anton Grevskotts veg,700,24,City Syd via Kroppanmarka
Arne Bergsgårds veg,700,115,Steinan via Risvollan
Arne Bergsgårds veg,700,22,Tyholt via Othilienborg-sentrum
Arne Bergsgårds veg,700,22,Vestlia via sentrum-Othilienborg
Arnt Smistads veg,700,101,Flatåsen via Byåsen
Arnt Smistads veg,700,23,Sandmoen via Flatåsen
Arnt Smistads veg,700,23,Hallset via Flatåsen
Arnt Smistads veg,700,23,Sandmoen via St. Olavs H-Byåsen
Arnt Smistads veg,700,23,Pirbadet
Arnt Smistads veg,700,23,Hallset
Arnt Smistads veg,700,3,Hallset via sentrum
Arnt Smistads veg,700,3,Lohove via sentrum
Arnt Smistads veg,700,52,St. Olavs H. via Flatåsen-Byåsen
Arnt Smistads veg,700,52,Saupstad via Byåsen-Heimdal
Arnt Smistads veg,700,53,Sandmoen via Flatåsen
Asbjørn Øverås veg,700,115,Steinan via Risvollan
Asbjørn Øverås veg,700,11,Stavset via sentrum
Asbjørn Øverås veg,700,11,Risvollan via sentrum
Asbjørn Øverås veg,700,51,St. Olavs H. via Kroppan-Nardo
Asbjørn Øverås veg,700,51,Sandmoen via Nardo-Kroppanmarka
Askeladdvegen,700,107,Fortunalia via Reppe-Vikåsen
Askeladdvegen,700,116,Stjørdal via Strindh.-Hommelvik
Askeladdvegen,700,211,Charlottenlund vgs
Askeladdvegen,700,25,Hurtigbåtterm. via Singsaker
Askeladdvegen,700,25,Vikåsen via Singsaker
Askeladdvegen,700,54,Sandmoen via Lade-sentrum
Askeladdvegen,700,70,Strindheim via Hommelvik
Askeladdvegen,700,70,Strindheim
Askeladdvegen,700,70,Stjørdal via Hommelvik
Askeladdvegen,700,70,Hommelvik
Askeladdvegen,700,70,Stjørdal via Strindh.-Hommelvik
Askeladdvegen,700,70,Marienborg via Hommelvik-Strindh
Askeladdvegen,700,70,Marienborg via Strindh.-sentrum
Askeladdvegen,700,70,Marienborg
Astronomvegen,700,103,Sjetnmarka via Kroppanmarka
Astronomvegen,700,10,Ratesvingen via Strindheim
Astronomvegen,700,10,Sæterbakken via sentrum
Astronomvegen,700,10,Rate via Strindheim
Astronomvegen,700,10,Sjetnmarka via Strindheim
Astronomvegen,700,10,Vikåsen via sentrum-Strindheim
Astronomvegen,700,10,Sjetnmarka
Astronomvegen,700,10,Rate
Astronomvegen,700,112,Sandmoen / Klæbu via Nidarvoll
Astronomvegen,700,73,Tempe
Astronomvegen,700,73,Klæbu
Astronomvegen,700,73,Klæbu - Sørborgen skole
Astronomvegen,700,74,Flatjord
Astronomvegen,700,74,Spillebakken
Astronomvegen,700,74,Tempe
Aune,700,112,Sandmoen / Klæbu via Nidarvoll
Aune,700,73,Tempe
Aune,700,73,Klæbu
Aune,700,73,Klæbu - Sørborgen skole
Bakkegata,700,102,Jakobsli via Valentinlyst
Bakkegata,700,106,Værestrøa via Lade
Bakkegata,700,107,Fortunalia via Reppe-Vikåsen
Bakkegata,700,116,Stjørdal via Strindh.-Hommelvik
Bakkegata,700,12,Marienborg via Strindh.-sentrum
Bakkegata,700,12,Dragvoll via Strindheim
Bakkegata,700,12,Øya via Strindh.-sentrum
Bakkegata,700,1,Kattem via Strindheim-sentrum
Bakkegata,700,1,Ranheim via Tiller-sentrum
Bakkegata,700,1,Tillerterminalen via sentrum
Bakkegata,700,1,Strindheim via sentrum
Bakkegata,700,20,Romolslia via Strindh.-Ladeham.
Bakkegata,700,20,Grillstad via Sluppen-Ladehammeren
Bakkegata,700,20,Grillstad via Tempeveien-Ladeham.
Bakkegata,700,21,Trolla via sentrum - Ila
Bakkegata,700,21,Pirbadet via Ila-sentrum
Bakkegata,700,21,Pirbadet
Bakkegata,700,21,Ilsvika
Bakkegata,700,21,Ilsvika via sentrum
Bakkegata,700,21,Pirbadet via sentrum
Bakkegata,700,22,Tyholt via Othilienborg-sentrum
Bakkegata,700,22,Vestlia via sentrum-Othilienborg
Bakkegata,700,23,Sandmoen via St. Olavs H-Byåsen
Bakkegata,700,23,Pirbadet
Bakkegata,700,25,Hurtigbåtterm. via Singsaker
Bakkegata,700,25,Vikåsen via Singsaker
Bakkegata,700,54,Sandmoen via Lade-sentrum
Bakkegata,700,70,Stjørdal via Strindh.-Hommelvik
Bakkegata,700,70,Marienborg via Hommelvik-Strindh
Bakkegata,700,70,Marienborg via Strindh.-sentrum
Bakkegata,700,70,Marienborg
Bakkegata,700,70,E Marienborg via Hommelvik-E6
Bakkegata,700,71,Dora via Klettkrysset-Tiller
Bakkegata,700,71,Brekkåsen via Tillerterm.-Melhus
Bakkegata,700,71,Dora via Klettkrysset-E6
Bakkegata,700,71,71E Dora ekspress
Bakkegata,700,71,Brekkåsen
Bakkegata,700,71,Melhus
Baklia,700,26,Skistua
Baklia,700,26,Sentrum
Bedehuset,700,207,Vikhammer skole
Bedehuset,700,207,Vikhammerløkka
Bekkasinvegen,700,109,Lundåsen via Bjørndalen-Kattem
Bekkasinvegen,700,109,Lundåsen
Bekkasinvegen,700,1,Kattem via Strindheim-sentrum
Bekkasinvegen,700,1,Ranheim via Tiller-sentrum
Bekkasinvegen,700,52,St. Olavs H. via Flatåsen-Byåsen
Bekkasinvegen,700,52,Saupstad via Byåsen-Heimdal
Bekkasinvegen,700,53,Sandmoen via Flatåsen
Belvedere,900,9,Lian
Belvedere,900,9,St. Olavs gate
Berg,700,114,Spongdal
Berg,700,208,Spongdal skole
Berg,700,209,Spongdal skole
Berg,700,210,Spongdal skole
Berg,700,210,Lauglo
Berg,700,217,Lund
Berg,700,75,Spongdal via Klefstadhaugen
Berg,700,75,Trondheim S via Spongdalsvegen
Berg,700,75,Trondheim S via Rye skole
Berg,700,75,Rye skole via Spongdalsvegen
Berg,700,78,Spongdal via Mebygda
Berg,700,78,Heimdal via Mebygda
Berg Bedehus,700,114,Spongdal
Berg Bedehus,700,208,Spongdal skole
Berg Bedehus,700,209,Spongdal skole
Berg Bedehus,700,210,Spongdal skole
Berg Bedehus,700,210,Lauglo
Berg Bedehus,700,217,Lund
Berg Bedehus,700,75,Spongdal via Klefstadhaugen
Berg Bedehus,700,75,Trondheim S via Spongdalsvegen
Berg Bedehus,700,75,Trondheim S via Rye skole
Berg Bedehus,700,75,Rye skole via Spongdalsvegen
Berg Bedehus,700,78,Spongdal via Mebygda
Berg Bedehus,700,78,Heimdal via Mebygda
Berg studentby,700,113,Strindheim via Moholt
Berg studentby,700,113,Granåslia via Moholt
Berg studentby,700,13,Havstad via Lerkendal
Berg studentby,700,13,Østmarka
Berg studentby,700,14,Strindheim via Brundalen
Berg studentby,700,14,Lerkendal via Brundalen
Berg studentby,700,14,A Strindheim via Jakobsli
Berg studentby,700,14,Tempe via Brundalen/Jakobsli
Berg studentby,700,14,A Tempe via Jakobsli
Berg studentby,700,3,Hallset via sentrum
Berg studentby,700,3,Lohove via sentrum
Berg studentby,700,70,Marienborg
Berge,700,80,Lohove
Berge,700,80,Solbakken
Berge,700,80,Lohove via Brandhaugen
Berge,700,80,Lohove via Vikåsen
Berge,700,80,Lohove via Brandhaugen-Vikåsen
Berge,700,80,Kuset via Brandhaugen
Berge,700,80,Solbakken via Vikåsen
Bergheim,700,3,Hallset via sentrum
Bergheim,700,3,Lohove via sentrum
Bergheim,700,43,Bergheim
Bergheim snuplass,700,43,Blakli
Bergheim snuplass,700,43,Bergheim
Bergsli gate,900,9,Lian
Bergsli gate,900,9,St. Olavs gate
Biologen,700,114,Spongdal
Biologen,700,21,Trolla via sentrum - Ila
Biologen,700,21,Pirbadet via Ila-sentrum
Biologen,700,350,Rissa
Biologen,700,350,Trondheim S
Biologen,700,350,Trondheim
Biologen,700,452,Trondheim S via Rissa
Biologen,700,452,Trondheim S
Biologen,700,452,Sandviksberget via Rissa
Biologen,700,75,Spongdal via Klefstadhaugen
Biologen,700,75,Trondheim S via Spongdalsvegen
Biologen,700,75,Trondheim S via Rye skole
Biologen,700,76,Spongdal via Hangerslettvegen
Biologen,700,76,Trondheim S via Hangerslettvegen
Bjarne Ness' veg,700,115,Steinan via Risvollan
Bjarne Ness' veg,700,22,Tyholt via Othilienborg-sentrum
Bjarne Ness' veg,700,22,Vestlia via sentrum-Othilienborg
Bjønnbakken,700,5003,Gimse skole
Bjønnbakken,700,5003,Melhus skysst. via Gimse skole
Bjønnbakken,700,5003,Varmbu
Bjøra,700,114,Spongdal
Bjøra,700,209,Spongdal skole
Bjøra,700,212,Spongdal
Bjøra,700,76,Spongdal via Hangerslettvegen
Bjøra,700,76,Flakkråa via Hangerslettvegen
Bjøra,700,76,Rye via Hangerslettvegen
Bjøra,700,76,Flakkråa via Rye skole
Bjøra,700,76,Spongdal via Rye skole
Bjøra,700,76,Trondheim S via Hangerslettvegen
Bjørkmyr,700,112,Sandmoen / Klæbu via Nidarvoll
Bjørkmyr,700,73,Tempe
Bjørkmyr,700,73,Klæbu
Bjørkmyr,700,73,Klæbu - Sørborgen skole
Bjørkmyr,700,74,Flatjord
Bjørkmyr,700,74,Spillebakken
Bjørkmyr,700,74,Tempe
Bjørndalsbrua,700,104,Heimdal via Kolstad
Bjørndalsbrua,700,23,Sandmoen via Flatåsen
Bjørndalsbrua,700,23,Hallset via Flatåsen
Bjørndalsbrua,700,23,Sandmoen via St. Olavs H-Byåsen
Bjørndalsbrua,700,23,Pirbadet
Bjørndalsbrua,700,23,Hallset
Bjørndalsbrua,700,2,Lund via Lade-sentrum-Kolstad
Bjørndalsbrua,700,2,Strindheim via Kolstad-sentrum
Bjørndalsbrua,700,2,Husebytunet via sentrum
Bjørndalsbrua,700,2,Midteggen via sentrum
Bjørndalsbrua,700,2,Strindheim via sentrum-Lade
Bjørndalsbrua,700,40,Tonstadkrysset
Bjørndalsbrua,700,40,Flatåstoppen
Bjørndalsbrua,700,40,Nordre Flatåsen
Bjørndalstoppen,700,104,Heimdal via Kolstad
Bjørndalstoppen,700,23,Sandmoen via Flatåsen
Bjørndalstoppen,700,23,Hallset via Flatåsen
Bjørndalstoppen,700,23,Sandmoen via St. Olavs H-Byåsen
Bjørndalstoppen,700,23,Pirbadet
Bjørndalstoppen,700,23,Hallset
Bjørndalstoppen,700,2,Lund via Lade-sentrum-Kolstad
Bjørndalstoppen,700,2,Strindheim via Kolstad-sentrum
Bjørndalstoppen,700,2,Husebytunet via sentrum
Bjørndalstoppen,700,2,Midteggen via sentrum
Bjørndalstoppen,700,2,Strindheim via sentrum-Lade
Bjørndalstoppen,700,40,Tonstadkrysset
Bjørndalstoppen,700,40,Flatåstoppen
Bjørndalstoppen,700,40,Nordre Flatåsen
Blakli,700,115,Steinan via Risvollan
Blakli,700,11,Stavset via sentrum
Blakli,700,11,Risvollan via sentrum
Blakli,700,43,Blakli
Blakli,700,43,Voll
Blakli,700,43,Bergheim
Bleksmarka,700,5003,Gimse skole
Bleksmarka,700,5003,Melhus skysst. via Gimse skole
Bleksmarka,700,5003,Varmbu
Blækkan,700,5106,Ribygda via Venn
Blækkan,700,5106,Våttålia via Ribygda
Blækkan,700,5110,Skaun
Blækkan,700,5110,Follo
Blækkan,700,5111,Venn skole via Jåren
Blækkan,700,5111,Børsa skole/Skaun ungdomsskole
Blækkan,700,5111,Grønnesset
Blækkan,700,511,Børskrysset
Blækkan,700,511,By via Venn skole
Bostad,700,73,Tempe
Bostad,700,73,Klæbu
Bostad,700,73,Klæbu - Sørborgen skole
Brandhaugen,700,80,Lohove via Brandhaugen
Brandhaugen,700,80,Lohove via Brandhaugen-Vikåsen
Brandhaugen,700,80,Kuset via Brandhaugen
Brandhaugen,700,81,Bruråk via Nyjord
Brandhaugen,700,81,Bratsberg kirke via Nyjord
Brandsegga,700,74,Spillebakken
Brandsegga,700,74,Tempe
Brannåsen,700,112,Sandmoen / Klæbu via Nidarvoll
Brannåsen,700,214,Teigen
Brannåsen,700,214,Ler
Brannåsen,700,214,Lundabrua
Brannåsen,700,214,Klæbu sentrum
Brannåsen,700,23,Hallset
Brannåsen,700,5001,Gimse skole
Brannåsen,700,72,Klæbu
Brannåsen,700,72,Tillerterminalen via Sandmoen
Brannåsen,700,72,Trondheim S
Brannåsen,700,83,Klæbu
Brannåsen,700,83,Tangen
Brannåsen,700,83,Tanem
Brannåsen,700,83,Klæbu sentrum
Bratsberg Ridesenter,700,112,Sandmoen / Klæbu via Nidarvoll
Bratsberg Ridesenter,700,214,Sørborgen skole
Bratsberg Ridesenter,700,214,Bratsberg ridesenter
Bratsberg Ridesenter,700,73,Tempe
Bratsberg Ridesenter,700,73,Klæbu
Bratsberg Ridesenter,700,73,Klæbu - Sørborgen skole
Bratsberg kirke,700,74,Flatjord
Bratsberg kirke,700,74,Spillebakken
Bratsberg kirke,700,74,Tempe
Bratsberg kirke,700,81,Bruråk via Nyjord
Bratsberg kirke,700,81,Nyjord
Bratsberg kirke,700,81,Bratsberg kirke
Bratsberg kirke,700,81,Bratsberg kirke via Nyjord
Bratsberg skole,700,81,Bruråk via Nyjord
Bratsberg skole,700,81,Bratsberg kirke via Nyjord
Bratsberg østre,700,74,Flatjord
Bratsberg østre,700,74,Spillebakken
Bratsberg østre,700,74,Tempe
Bratsbergflata,700,74,Flatjord
Bratsbergflata,700,74,Spillebakken
Bratsbergflata,700,74,Tempe
Bratsbergvegen,700,104,Heimdal via Kolstad
Bratsbergvegen,700,10,Sæterbakken via sentrum
Bratsbergvegen,700,10,Vikåsen via sentrum-Strindheim
Bratsbergvegen,700,110,Brekkåsen
Bratsbergvegen,700,110,Brekkåsen via Melhus
Bratsbergvegen,700,111,Tiller
Bratsbergvegen,700,14,Strindheim via Brundalen
Bratsbergvegen,700,14,A Strindheim via Jakobsli
Bratsbergvegen,700,15,Torgård via Nidarvoll-Tiller
Bratsbergvegen,700,15,Torgård via Strindheim-Nidarvoll
Bratsbergvegen,700,1,Kattem via Strindheim-sentrum
Bratsbergvegen,700,1,Ranheim via Tiller-sentrum
Bratsbergvegen,700,1,Tillerterminalen via sentrum
Bratsbergvegen,700,1,Strindheim via sentrum
Bratsbergvegen,700,20,Grillstad via Sluppen-Ladehammeren
Bratsbergvegen,700,20,Grillstad via Tempeveien-Ladeham.
Bratsbergvegen,700,2,Lund via Lade-sentrum-Kolstad
Bratsbergvegen,700,2,Strindheim via Kolstad-sentrum
Bratsbergvegen,700,2,Husebytunet via sentrum
Bratsbergvegen,700,2,Midteggen via sentrum
Bratsbergvegen,700,2,Strindheim via sentrum-Lade
Bratsbergvegen,700,310,Fannrem stasjon via Orkanger
Bratsbergvegen,700,310,Orkanger skysstasjon
Bratsbergvegen,700,310,Trondheim S via Orkanger skysst.
Bratsbergvegen,700,310,Trondheim S
Bratsbergvegen,700,310,Orkanger skysst. via Grønnøra
Bratsbergvegen,700,310,Trondheim S via Grønnøra
Bratsbergvegen,700,340,Støren Rådhus
Bratsbergvegen,700,340,Støren barneskole via Støren st.
Bratsbergvegen,700,340,Støren
Bratsbergvegen,700,340,Trondheim S
Bratsbergvegen,700,340,Trondheim S ekspress
Bratsbergvegen,700,4101,Fannrem stasjon via fv. 800
Bratsbergvegen,700,4101,Trondheim S via fv. 800
Bratsbergvegen,700,410,Orkanger via fv. 800 og Grønnøra
Bratsbergvegen,700,410,Orkanger skysst. via fv. 800
Bratsbergvegen,700,410,Fannrem via fv. 800 og Orkanger
Bratsbergvegen,700,410,Trondheim S via fv. 800
Bratsbergvegen,700,410,Trondheim S via fv. 800 og Oti
Bratsbergvegen,700,410,Fannrem via fv.800 og AMFI Oti
Bratsbergvegen,700,410,Trondheim S
Bratsbergvegen,700,410,Follo via Orkanger via fv. 800
Bratsbergvegen,700,410,Orkanger via Skaun u.skole
Bratsbergvegen,700,420,Frøya via Orkanger og Hitra
Bratsbergvegen,700,420,Trondheim S
Bratsbergvegen,700,420,Trondheim via Fillan og Orkanger
Bratsbergvegen,700,440,Røros
Bratsbergvegen,700,440,Trondheim S
Bratsbergvegen,700,440,Røros -Første avst. Stendal
Bratsbergvegen,700,470,Kyrksæterøra
Bratsbergvegen,700,470,Trondheim S
Bratsbergvegen,700,470,Aure
Bratsbergvegen,700,480,Oppdal
Bratsbergvegen,700,480,Trondheim S
Bratsbergvegen,700,71,Dora via Klettkrysset-Tiller
Bratsbergvegen,700,71,Brekkåsen via Tillerterm.-Melhus
Bratsbergvegen,700,71,Dora via Klettkrysset-E6
Bratsbergvegen,700,71,71E Dora ekspress
Bratsbergvegen,700,71,Brekkåsen
Bratsbergvegen,700,71,Melhus
Bratsbergvegen,700,72,Trondheim S
Bratsbergvegen,700,72,Klæbu
Bratsbergvegen,700,73,Tempe
Bratsbergvegen,700,74,Tempe
Bratsbergvegen,700,79,Vikhammeråsen via Dyre Halses gt
Breidablikk,700,101,Flatåsen via Byåsen
Breidablikk,700,13,Havstad via Lerkendal
Breidablikk,700,13,Østmarka
Breidablikk,700,23,Sandmoen via St. Olavs H-Byåsen
Breidablikk,700,23,Pirbadet
Breidablikk,900,9,Lian
Breidablikk,900,9,St. Olavs gate
Breidablikk skole,700,111,Tiller
Breidablikk skole,700,16,Torgård via Heimdal-Tillerringen
Breidablikk skole,700,16,Flatåsen/N. Flatåsen via Heimdal
Breidablikk skole,700,16,Flatåsen via Tillerring.-Heimdal
Breidablikk skole,700,46,Lundåsen via Heimdal
Breidablikk skole,700,46,Torgård
Breidablikk skole,700,46,Torgård via Heimdal
Breidablikk skole,700,50,Sandmoen via Saupstad-Heimdal
Breidablikk skole,700,50,Sverresborg via Flatåsen-Byåsen
Breidablikkveien,700,101,Flatåsen via Byåsen
Breidablikkveien,700,13,Havstad via Lerkendal
Breidablikkveien,700,13,Østmarka
Breidablikkveien,700,23,Sandmoen via St. Olavs H-Byåsen
Breidablikkveien,700,23,Pirbadet
Breivika,700,74,Spillebakken
Breivika,700,74,Tempe
Brekka,700,4101,Fannrem stasjon via fv. 800
Brekka,700,4101,Trondheim S via fv. 800
Brekka,700,410,Orkanger via fv. 800 og Grønnøra
Brekka,700,410,Orkanger skysst. via fv. 800
Brekka,700,410,Fannrem via fv. 800 og Orkanger
Brekka,700,410,Trondheim S via fv. 800
Brekka,700,410,Trondheim S via fv. 800 og Oti
Brekka,700,410,Fannrem via fv.800 og AMFI Oti
Brekka,700,410,Trondheim S
Brekka,700,410,Follo via Orkanger via fv. 800
Brekka,700,410,Orkanger via Skaun u.skole
Brekka,700,5002,Melhus skysst. via Gimse skole
Brekka,700,5002,Ilhaugen
Brian Smiths gate,700,22,Tyholt via Othilienborg-sentrum
Brian Smiths gate,700,22,Vestlia via sentrum-Othilienborg
Bromstadsvingen,700,10,Sæterbakken via sentrum
Bromstadsvingen,700,10,Vikåsen via sentrum-Strindheim
Bromstadsvingen,700,12,Dragvoll via Strindheim
Bromstadsvingen,700,15,Torgård via Nidarvoll-Tiller
Bromstadsvingen,700,15,Torgård via Strindheim-Nidarvoll
Bromstadvegen,700,102,Jakobsli via Valentinlyst
Bromstadvegen,700,13,Havstad via Lerkendal
Bromstadvegen,700,13,Østmarka
Bromstadvegen,700,70,Marienborg
Brukseier Olsens vei,700,114,Spongdal
Brukseier Olsens vei,700,350,Rissa
Brukseier Olsens vei,700,350,Trondheim S
Brukseier Olsens vei,700,350,Trondheim
Brukseier Olsens vei,700,452,Trondheim S via Rissa
Brukseier Olsens vei,700,452,Trondheim S
Brukseier Olsens vei,700,452,Sandviksberget via Rissa
Brukseier Olsens vei,700,75,Spongdal via Klefstadhaugen
Brukseier Olsens vei,700,75,Trondheim S via Spongdalsvegen
Brukseier Olsens vei,700,75,Trondheim S via Rye skole
Brukseier Olsens vei,700,76,Spongdal via Hangerslettvegen
Brukseier Olsens vei,700,76,Trondheim S via Hangerslettvegen
Brukseier Olsens vei 1,700,114,Spongdal
Brukseier Olsens vei 1,700,21,Trolla via sentrum - Ila
Brukseier Olsens vei 1,700,21,Pirbadet via Ila-sentrum
Brukseier Olsens vei 40,700,114,Spongdal
Brukseier Olsens vei 40,700,21,Trolla via sentrum - Ila
Brukseier Olsens vei 40,700,21,Pirbadet via Ila-sentrum
Brukseier Olsens vei 50,700,114,Spongdal
Brukseier Olsens vei 50,700,21,Trolla via sentrum - Ila
Brukseier Olsens vei 50,700,21,Pirbadet via Ila-sentrum
Brundalen,700,102,Jakobsli via Valentinlyst
Brundalen,700,14,Strindheim via Brundalen
Brundalen,700,14,Lerkendal via Brundalen
Brundalen,700,14,Tempe via Brundalen/Jakobsli
Brundalen,700,211,Charlottenlund vgs
Brundalen sykehjem,700,102,Jakobsli via Valentinlyst
Brundalen sykehjem,700,14,Strindheim via Brundalen
Brundalen sykehjem,700,14,Lerkendal via Brundalen
Brundalen sykehjem,700,14,Tempe via Brundalen/Jakobsli
Brundalen sykehjem,700,211,Charlottenlund vgs
Bruråk,700,74,Flatjord
Bruråk,700,74,Spillebakken
Bruråk,700,74,Tempe
Bruråk,700,81,Bruråk via Nyjord
Bruråk,700,81,Bratsberg kirke via Nyjord
Brålia,700,77,Spongdal via Klett
Brålia,700,77,Heimdal via Klett
Brålia,700,77,Spongdal via Klett / Skjetlein
Brålia,700,77,Spongdal via Spongdal skole
Brålia,700,77,Spongdal
Brålia,700,77,Klett
Brålia,700,77,Heimdal via Skjetlein / Klett
Brålia,700,77,Heimdal via Nypvang skole/Klett
Brænne,700,114,Spongdal
Brænne,700,21,Trolla via sentrum - Ila
Brænne,700,21,Pirbadet via Ila-sentrum
Brænne,700,350,Rissa
Brænne,700,350,Trondheim S
Brænne,700,350,Trondheim
Brænne,700,452,Trondheim S via Rissa
Brænne,700,452,Trondheim S
Brænne,700,452,Sandviksberget via Rissa
Brænne,700,75,Spongdal via Klefstadhaugen
Brænne,700,75,Trondheim S via Spongdalsvegen
Brænne,700,75,Trondheim S via Rye skole
Brænne,700,76,Spongdal via Hangerslettvegen
Brænne,700,76,Trondheim S via Hangerslettvegen
Brøset Hageby,700,113,Strindheim via Moholt
Brøset Hageby,700,113,Granåslia via Moholt
Brøset Hageby,700,12,Marienborg via Strindh.-sentrum
Brøset Hageby,700,12,Dragvoll via Strindheim
Brøset Hageby,700,12,Øya via Strindh.-sentrum
Brøsetflata,700,113,Strindheim via Moholt
Brøsetflata,700,113,Granåslia via Moholt
Brøsetflata,700,12,Marienborg via Strindh.-sentrum
Brøsetflata,700,12,Dragvoll via Strindheim
Brøsetflata,700,12,Øya via Strindh.-sentrum
Buenget,700,105,Buenget
Buenget,700,42,Munkvoll
Buenget,700,42,Buenget
Bukkvollan,700,108,Stavset
Bukkvollan,700,11,Stavset via sentrum
Bukkvollan,700,11,Risvollan via sentrum
Bukkvollan,700,11,Stavset
Bukkvollan,700,50,Sandmoen via Saupstad-Heimdal
Bukkvollan,700,50,Sverresborg via Flatåsen-Byåsen
Bukkvollan,700,50,Heimdal
Bukta,700,114,Spongdal
Bukta,700,209,Spongdal skole
Bukta,700,212,Spongdal
Bukta,700,76,Spongdal via Hangerslettvegen
Bukta,700,76,Flakkråa via Hangerslettvegen
Bukta,700,76,Rye via Hangerslettvegen
Bukta,700,76,Flakkråa via Rye skole
Bukta,700,76,Spongdal via Rye skole
Bukta,700,76,Trondheim S via Hangerslettvegen
Buran,700,102,Jakobsli via Valentinlyst
Buran,700,106,Værestrøa via Lade
Buran,700,107,Fortunalia via Reppe-Vikåsen
Buran,700,10,Ratesvingen via Strindheim
Buran,700,10,Sæterbakken via sentrum
Buran,700,10,Rate via Strindheim
Buran,700,10,Sjetnmarka via Strindheim
Buran,700,10,Vikåsen via sentrum-Strindheim
Buran,700,10,Sjetnmarka
Buran,700,10,Rate
Buran,700,116,Stjørdal via Strindh.-Hommelvik
Buran,700,12,Marienborg via Strindh.-sentrum
Buran,700,12,Dragvoll via Strindheim
Buran,700,12,Øya via Strindh.-sentrum
Buran,700,1,Kattem via Strindheim-sentrum
Buran,700,1,Ranheim via Tiller-sentrum
Buran,700,1,Tillerterminalen via sentrum
Buran,700,1,Strindheim via sentrum
Buran,700,20,Romolslia via Strindh.-Ladeham.
Buran,700,20,Grillstad via Sluppen-Ladehammeren
Buran,700,20,Grillstad via Tempeveien-Ladeham.
Buran,700,22,Tyholt via Othilienborg-sentrum
Buran,700,22,Vestlia via sentrum-Othilienborg
Buran,700,28,Ilsvika via Singsaker
Buran,700,28,Pirbadet via Singsaker
Buran,700,2,Lund via Lade-sentrum-Kolstad
Buran,700,2,Strindheim via Kolstad-sentrum
Buran,700,2,Husebytunet via sentrum
Buran,700,2,Midteggen via sentrum
Buran,700,2,Strindheim via sentrum-Lade
Buran,700,54,Sandmoen via Lade-sentrum
Buran,700,70,Stjørdal via Strindh.-Hommelvik
Buran,700,70,Marienborg via Hommelvik-Strindh
Buran,700,70,Marienborg via Strindh.-sentrum
Buran,700,70,Marienborg
Buran,700,70,E Marienborg via Hommelvik-E6
Buvik skole,700,5002,Melhus skysst. via Gimse skole
Buvik skole,700,5002,Melhus via Buvik skole
Buvik skole,700,5109,Skaun u.skole via Buvik skole
